block,reserve COMP,reserve USDC,price,volume for slippage 5%
10361228,0.4322791080382895,102.262831,236.56667439718595,0.02275153200201524
10361327,0.433566587569255,101.960069,235.16588206583975,0.022819294082592367
10361365,0.43547619144255745,101.5143,233.1110218993235,0.022919799549608266
10362026,0.4354858033782781,101.512067,233.10074912321102,0.02292030544096202
10363605,0.43844530685489735,100.828903,229.96916929793738,0.023076068781836656
10363929,0.4376225104317362,101.019047,230.83603926210222,0.023032763706933468
10365296,0.43750538234510433,101.046173,230.95983975871354,0.023026599070794962
10367085,0.4475854937567827,98.777178,220.68896194762598,0.023557131250357022
10369050,0.45105106203495365,98.020501,217.3157525841365,0.023739529580787067
10369597,0.45246164394760363,97.715829,215.96488963673522,0.023813770734084416
10371516,0.4547137833762091,97.2333,213.83407223342002,0.023932304388221526
10374877,0.4558139841768036,96.99931,212.8045943460466,0.023990209693516007
