block,reserve DAI,reserve WBTC,price,volume for slippage 5%
10212328,5627.703266799523,0.58262927,0.00010352878294724687,296.1949087789226
10213385,5612.427477547222,0.58421983,0.00010409396510461804,295.39091987090615
10216032,5616.477345937907,0.58379983,0.00010394412619187911,295.6040708388373
10216103,5644.186345165909,0.58094234,0.00010292756200325689,297.0624392192576
10218792,5618.962661192199,0.58355806,0.00010385512330067414,295.7348769048531
10219101,5565.523503366486,0.58917814,0.00010586212413686092,292.92228965086815
10220713,5614.010102797355,0.58410472,0.00010404411629201587,295.4742159367024
10225102,5623.683982584594,0.58310296,0.00010368700691677401,295.9833675044529
10225397,5684.378244052797,0.57689543,0.00010148786819448001,299.17780231856887
10225630,5643.088307172052,0.58112922,0.0001029807063733908,297.0046477458973
10227834,5653.088307172052,0.58010432,0.00010261724007813991,297.5309635353715
