block,reserve LINK,reserve USDC,price,volume for slippage 5%
10370137,2373.3034151009965,10758.788652,4.533254611923337,124.91070605794721
10370558,2370.634487864942,10770.937647,4.543483064190381,124.77023620341788
10370638,2365.634487864942,10793.77158,4.562738510690936,124.50707830868123
10370926,2374.634487864942,10752.984835,4.528269462079664,124.98076251920747
10371000,2373.634487864942,10757.528644,4.532091482069878,124.92813094025996
10371319,2378.634487864942,10734.983517,4.513086635112106,125.19128883499752
10371544,2361.0948037729513,10814.969625,4.580489359308248,124.26814756699741
10372297,2372.7251679987457,10762.11625,4.535761829962469,124.8802719999344
10372588,2352.8903204462104,10853.113801,4.612673062865836,123.83633265506342
10372947,2353.8903204462104,10848.516914,4.608760578081448,123.88896423401093
10373378,2353.3238745909184,10851.136013,4.610982844376347,123.85915129425848
