block,reserve FEI,reserve DAI,price,volume for slippage 5%
12173099,5444728.331517459,4901092.232548649,0.9001536778571839,286564.6490272349
12173117,5409076.982328828,4933492.643953307,0.9120766186302708,284688.2622278333
12173118,5432562.459620364,4912228.40037939,0.9042194060153824,285924.33998001926
12173123,5432178.08386805,4912577.030878347,0.9043475664885209,285904.10967726633
12173135,5442611.39676552,4903188.464230917,0.9008889495849042,286453.2314087115
12173157,5464416.009687124,4883681.774772598,0.8937243734948034,287600.84261511266
12173166,5475457.296333126,4873863.290892883,0.8901289932727399,288181.9629649017
12173169,5492832.3680886645,4858516.190195,0.884519290707139,289096.44042571913
12173186,5490576.059461427,4860518.766567698,0.8852475066240078,288977.68734007515
12173206,5505089.664752764,4847765.93924732,0.8805970900503101,289741.56130277645
12173243,5498680.577820466,4853433.343021773,0.8826541702747075,289404.2409379203
12173250,5497051.746858851,4854875.790809201,0.8831781133556538,289318.5129925711
12173278,5497041.746858851,4854884.649181518,0.8831813314781031,289317.98667678144
12173298,5496661.292140429,4855221.694078161,0.8833037795180413,289297.9627442332
12173299,5529959.931302554,4826073.169995077,0.872713949096973,291050.52270013373
12173319,5527600.777468429,4828139.112997646,0.873460169677607,290926.3567088647
12173321,5515799.082231921,4838500.563906801,0.8772075435983688,290305.21485431213
12173324,5514445.082231921,4839692.169371035,0.8776390184689651,290233.9516964173
12173337,5514377.287675722,4839751.848287035,0.8776606307122962,290230.3835618803
12173345,5513908.341386867,4840164.6975340685,0.8778101480585481,290205.70217825565
12173350,5516180.841386867,4838176.675327946,0.8770881184728422,290325.30744141433
12173382,5554880.803360517,4804570.293858691,0.8649277030304748,292362.1475452911
12173387,5531462.554634965,4824972.377243105,0.8722778703798922,291129.6081386814
12173394,5530278.512883361,4826008.520216612,0.8726519847009371,291067.2901517553
12173397,5530041.273734141,4826216.179289728,0.872726972620015,291054.8038807437
12173398,5527670.200527964,4828292.595698246,0.8734769659805466,290930.0105541032
12173406,5527196.232259195,4828707.877410126,0.8736270026433333,290905.06485574786
12173414,5527172.533720433,4828728.643480493,0.8736345055308404,290903.8175642332
12173418,5490704.192676701,4860896.757729481,0.885295690161704,288984.431193511
