block,reserve YFI,reserve USDC,price,volume for slippage 5%
10595898,25.984410881234894,94552.956514,3638.8339511011623,1.367600572696574
10595927,25.781310881234894,95300.067087,3696.478721582959,1.3569110990123647
10596342,25.981310881234894,94568.646247,3639.8720095105973,1.367437414801838
10596366,25.886295288449013,94916.804741,3666.6816816909986,1.3624365941288943
10596417,25.529057289438704,96249.009012,3770.1748216068254,1.3436345941809869
10596489,25.564642412844407,96115.434994,3759.70191336253,1.345507495412864
10596589,25.58432181424594,96041.724849,3753.9288923234917,1.3465432533813662
10596647,25.61468999904363,95928.20119,3745.0463462014045,1.3481415788970352
10596758,25.81468999904363,95187.207287,3687.327149407041,1.358667894686505
10596764,25.91468999904363,94820.995134,3658.9669850381897,1.3639310525812398
10597088,26.062391225773087,94285.226983,3617.6736879677173,1.3717048013564792
10597094,25.76463146783222,95378.152487,3701.9024551576445,1.356033235149063
