block,reserve BAT,reserve DAI,price,volume for slippage 5%
10414689,9741.051157919617,2468.9406501505646,0.2534573127812063,512.6869030484013
10414996,9757.222157919618,2464.8610401134356,0.25261913690391774,513.5380083115597
10415574,9765.319157919617,2462.8234051855156,0.2522010151801521,513.9641662062968
10415906,9777.206372485663,2459.838054639004,0.25158904915429725,514.589809078192
10415932,9788.606421565593,2456.9818518041584,0.2510042539243485,515.1898116613465
10416396,9822.472814136547,2448.5358785476424,0.2492789672091226,516.9722533756085
10416589,9775.210679612099,2460.409918874916,0.2516989146849314,514.4847726111639
10416859,9810.7406796121,2451.5260782864,0.24988185483089637,516.3547726111628
10416889,9793.027329167197,2455.9736719983152,0.2507879932779859,515.4224910088014
10417356,9791.96018527145,2456.2421334251653,0.2508427410805566,515.3663255406027
