block,reserve TUSD,reserve USDC,price,volume for slippage 5%
10289957,4189.544803154583,4026.833825,0.9611626117395696,220.50235806076762
10290205,4088.5448031545834,4126.608694,1.0093098871794306,215.186568587083
10291306,4074.519501926607,4141.68507,1.016484291716271,214.4483948382417
10293193,4124.5195019266075,4091.625782,0.9920248358842182,217.0799737856105
10293265,4155.081996098981,4061.619662,0.9775065006691255,218.6885261104726
10295371,4158.616756098982,4058.177697,0.9758479646022493,218.8745661104731
10296814,4128.278895326996,4088.090136,0.990265008652277,217.27783659615852
10296910,4030.7088267242757,4187.346986,1.0388611943976669,212.14256982759298
10297098,4130.708826724276,4086.272611,0.9892424720336642,217.405727722331
10298497,3976.3859957684226,4245.337316,1.067637125902211,209.2834734614953
10298516,4051.265337613999,4167.102013,1.0285927150489291,213.2244914533685
