block,reserve LINK,reserve WBTC,price,volume for slippage 5%
11755590,39.41164047344403,0.02614643,0.0006634189718039708,2.074296867023371
11760678,40.41792344263765,0.02549737,0.0006308431465111424,2.127259128559878
11762328,37.887441413076886,0.02720545,0.0007180598368569173,1.994075863846156
11767498,38.887441413076886,0.02650791,0.0006816573432647087,2.046707442793526
11769530,39.887441413076886,0.02584529,0.0006479555740952278,2.0993390217408887
11773369,39.878441413076885,0.02585115,0.0006482487550660124,2.0988653375303628
11774230,39.261884921797005,0.02625833,0.0006687995253488753,2.0664149958840525
11778815,39.81130434568318,0.02589703,0.0006504943865977118,2.0953318076675416
11785921,59.93811907267449,0.03898941,0.0006504943865977118,3.154637845930239
11785954,39.811304345685464,0.02589704,0.0006504946377826121,2.0953318076676553
11794459,38.20282710594541,0.02699068,0.0007065100162652494,2.0106751108392302
