block,reserve TUSD,reserve WETH,price,volume for slippage 5%
10119016,9350.81338395631,44.265788322469916,0.004733897095884631,492.14807283980554
10121073,9086.353561806498,45.55802812697056,0.0050138955981713935,478.2291348319195
10121074,9183.072530550387,45.07962121899905,0.004908991088660954,483.31960687107494
10121222,9255.807512271303,44.72642611488115,0.00483225543050491,487.14776380375224
10121933,9262.050512271302,44.69636906006697,0.004825753109513784,487.4763427511207
10125586,9286.410512271303,44.57947290508988,0.004800506379314312,488.75844801427957
10128238,9331.034699839383,44.36691520792486,0.004754769072789811,491.1070894652312
10128293,9443.345175524968,44.900925584264996,0.004754769072789812,497.0181671328937
10129214,9397.73030170454,45.11952230155491,0.004801108443532502,494.617384300238
10129294,9368.747508657254,45.25952230155491,0.004830904265456246,493.09197413985567
