block,reserve BAT,reserve WBTC,price,volume for slippage 5%
11751966,2232.8573607097856,0.01685245,0.000007547481669246847,117.5188084584097
11755189,2132.8573607097856,0.01764497,0.000008272925477833171,112.25565056367304
11756035,2072.8573607097856,0.01815726,0.000008759531815436936,109.09775582683051
11760951,1985.5136651301357,0.01895841,0.000009548365409390127,104.50071921737549
11812882,2193.8613680828935,0.02094779,0.000009548365409390127,115.46638779383647
11819293,2334.7780837228934,0.01968705,0.000008432086174377757,122.8830570380469
11834933,1929.3571530582105,0.02383639,0.000012354576218414047,101.54511331885328
11841023,1884.590846020877,0.0244043,0.000012949389015407355,99.18899189583567
11841671,1851.9598921907232,0.02483559,0.000013410436211240757,97.47157327319587
11855086,1973.407529010723,0.02331146,0.000011812795713658864,103.86355415845901
11874171,2090.116449010723,0.02201348,0.000010532178726414617,110.00612889530112
