block,reserve FEI,reserve USDC,price,volume for slippage 5%
12171773,47158.797052723196,37758.47478,0.8006666229799351,2482.041950143328
12171784,47005.55732213016,37881.939097,0.8059034134494822,2473.976701164749
12171815,46512.88418156591,38284.399038,0.8230923476719804,2448.046535871894
12171839,46510.88418156591,38286.050248,0.82316324279155,2447.9412727139934
12171842,45322.95936285408,39292.555634,0.866945940564585,2385.41891383443
12171939,44919.12622413685,39646.867562,0.882627755583904,2364.164538112469
12171974,44691.94311555586,39849.011407,0.8916374771167604,2352.207532397675
12172050,43083.21031659605,41341.456123,0.9595723210782854,2267.537385084004
12172051,45198.48285135781,39412.224468,0.8719811370132309,2378.867518492516
12172082,44217.64217517745,40289.101463,0.9111544506011037,2327.244325009342
12172181,44215.41541392338,40291.136594,0.9112463654771493,2327.127127048596
