block,reserve USDT,reserve WBTC,price,volume for slippage 5%
10860543,112700.124237,10.54536634,0.00009357013944211699,5931.585486157914
10860555,112201.939178,10.59232945,0.0000944041567160088,5905.365219894753
10860769,112249.111792,10.58789138,0.00009432494574762952,5907.847989052636
10861385,112286.786637,10.58434955,0.00009426175480661868,5909.830875631567
10861966,112443.502792,10.569642,0.00009399957967826663,5918.079094315792
10862617,112819.120043,10.53455691,0.00009337563443133439,5937.84842331578
10863289,112695.748053,10.52303698,0.00009337563450087834,5931.355160684208
10863468,112305.153712,10.55974595,0.0000940272605572479,5910.797563789471
10863693,112415.603027,10.54940201,0.00009384286278717237,5916.610685631575
10863866,112948.725637,10.49975708,0.00009296038552701002,5944.6697703684185
10865623,112563.944326,10.53575677,0.00009359797076306301,5924.418122421048
10865628,112033.855429,10.58575677,0.00009448712382042931,5896.518706789473
