block,reserve MKR,reserve DAI,price,volume for slippage 5%
10255075,1.1462693190993491,659.8650282413962,575.6631685473949,0.06032996416312364
10258374,1.2018599102416252,629.4311021729736,523.7142006395995,0.06325578474955917
10259311,1.1705469102416253,646.3195173025373,552.1517434693185,0.06160773211798043
10264296,1.1889924670645375,636.3223880110371,535.1778128435342,0.06257855089813358
10265770,1.2217818186654694,619.295060100436,506.87860192328037,0.06430430624555106
10268363,1.2702749714932662,595.7214989220414,468.97050818984775,0.06685657744701401
10269620,1.270295176415069,595.7120519859448,468.95561208625406,0.06685764086395096
10271736,1.2146268315485789,623.0966686910903,512.9943226239109,0.06392772797624091
10273227,1.2107909536340662,625.0766262443951,516.254787309313,0.06372583966495093
10278238,1.2012112670566701,630.0766262443951,524.5343958421843,0.06322164563456156
