block,reserve MKR,reserve USDC,price,volume for slippage 5%
10232974,71.93903318778153,49746.888031,691.5145481750685,3.786264904620083
10232976,71.27613492809213,50210.947349,704.4566515798869,3.7513755225311627
10233071,71.06716612752066,50359.033931,708.6118199878316,3.7403771646063575
10233080,70.07629269530992,49656.889305,708.6118199903495,3.6882259313320986
10233140,70.68684768161035,49229.255441,696.4415171368198,3.7203604042952776
10233315,70.17231869012177,49591.308426,706.7075643458967,3.6932799310590525
10233339,70.32231869012176,49485.845072,703.70041821376,3.7011746679011424
10233347,70.38231869012176,49443.785492,702.5029355695195,3.704332562637987
10233684,70.26907133718824,49523.710079,704.7725142311757,3.698372175641495
10233857,70.79522023904914,49156.746684,694.3512078642589,3.7260642231078407
10234016,70.29361172727994,49508.580042,704.3112286516135,3.699663775119987
10234082,70.05409527968094,49678.360275,709.1428427798013,3.687057646298996
