block,reserve COMP,reserve DAI,price,volume for slippage 5%
10309778,1.3757574474609413,467.71541632501226,339.9693871824677,0.07240828670847055
10310221,1.3887192624299012,463.36290046704056,333.662038831574,0.07309048749631053
10310272,1.4262264483864333,451.2128892850526,316.36833673610107,0.0750645499150755
10310366,1.4093756843891807,456.62390955133395,323.99019978071595,0.07417766759943056
10310391,1.4092699279132257,456.658279293627,324.0389014543318,0.07417210146911701
10310421,1.3884644481653605,463.52167672819934,333.8376271287832,0.07307707621922965
10310592,1.342411723777216,479.47108155769627,357.1714050653422,0.07065324861985345
10310613,1.34863621211694,477.2647415949994,353.8869394926316,0.07098085326931258
10310656,1.34363621211694,479.04610488295805,356.5296175876402,0.07071769537457584
10310847,1.3642715609559382,471.8216818638841,345.8414698121253,0.07180376636610175
10310894,1.3512232449625878,476.39161760967426,352.56321957580326,0.07111701289276784
