block,reserve TUSD,reserve WBTC,price,volume for slippage 5%
11270328,63125.93816155273,3.75336399,0.00005945834785685627,3322.417797976457
11270350,68910.63387540006,4.09731243,0.000059458347711740774,3626.875467126316
11275508,69073.76292660953,4.08766492,0.000059178257370213345,3635.461206663662
11276135,69850.87534828103,4.04232331,0.00005787076095818,3676.361860435849
11276632,18293.04059295121,1.05863218,0.00005787076099355068,962.7916101553274
11279800,18793.04059295121,1.0305489,0.00005483673037914539,989.1073996290143
11283965,18555.95499991118,1.04375563,0.000056249092542259124,976.6292105216417
11285286,18416.66391027065,1.05167364,0.00005710445958746633,969.29810054056
11285657,18669.084758929625,1.03749627,0.00005557295836389379,982.5834083647169
11292873,18695.084758929625,1.03605771,0.000055418722266296844,983.9518294173504
11294633,18817.393311911368,1.02934366,0.000054701713618773534,990.3891216795455
