block,reserve SUSHI,reserve USDC,price,volume for slippage 5%
11416314,11420.415411035314,24444.941227,2.140459899854374,601.074495317649
11416541,11456.586286699652,24367.994162,2.126985609167859,602.9782256157687
11416667,11586.504458463387,24095.569126,2.0796236874011935,609.8160241296537
11416853,11547.377772614642,24177.459286,2.093761870624725,607.7567248744544
11417089,11369.574175256646,24556.697285,2.1598607745963077,598.3986408029832
11417114,11539.494063330148,24196.167006,2.096813506138873,607.3417928068502
11417149,15811.46607074755,33153.695609,2.096813506138873,832.1824247761888
11417484,16081.46607074755,32598.703122,2.0270977147598237,846.3929510919752
11417980,16020.330860518094,32723.477408,2.0426218217906222,843.1753084483207
11417997,15969.243982267344,32828.477408,2.055731470096742,840.4865253824901
11418058,15812.073947768133,33155.77024,2.096864102047785,832.2144183035871
11418065,15827.073947768133,33124.441269,2.0928973591907094,833.003891987797
11418126,15813.915779104802,33152.085813,2.0963868959517553,832.3113567949877
11418196,15787.490024062385,33207.744123,2.1034213844244185,830.9205275822296
11418204,15653.497290178226,33492.855194,2.1396403994023157,823.868278430431
11418238,15686.497290178226,33422.606537,2.1306609065573148,825.6051205356944
11418313,15713.273556738768,33365.823183,2.123416426406628,827.0143977230946
11418569,15482.264520375897,33865.168718,2.187352416917482,814.8560273882049
11418920,15508.264381185942,33808.563247,2.1800352648111487,816.2244411150496
11418964,15521.513783387913,33779.790244,2.1763206034809075,816.9217780730487
11418983,15649.280136729321,33504.82052,2.1409815804474737,823.6463229857545
11419131,15419.856479602333,34004.82052,2.2052618041537673,811.5713936632801
11419304,15460.354312988351,33916.012661,2.19374096960423,813.7028585783337
11419628,15452.632100354256,33933.012661,2.19593739374809,813.2964263344365
11420124,15382.166076504789,34088.928247,2.2161331555942905,809.587688237094
11420413,15394.950646863233,34060.704322,2.212459468256884,810.2605603612228
11420921,15382.245219911729,34088.922437,2.2161213756281297,809.5918536795634
11420981,15351.76744707775,34156.802613,2.2249426804274477,807.9877603725108
11421005,15090.221979912032,34750.593627,2.302855032434889,794.2222094690551
11421023,15143.022464171254,34629.787971,2.286847824001773,797.0011823248024
11421109,15173.022464171254,34561.523187,2.277827194193622,798.5801296932204
11421759,15182.07103244906,34540.986157,2.2751168851189405,799.0563701288993
11421761,15190.536019642786,34521.795766,2.272585754798915,799.5018957706707
11421764,15269.724056890935,34343.301741,2.2491108295766176,803.6696872047851
11421774,15294.89078904521,34286.961359,2.2417264583253935,804.9942520550121
11421801,15244.112176144983,34401.51596,2.2567083974778024,802.3216934813117
11421956,15509.527028300086,33814.538123,2.1802430249032696,816.2908962263191
11422122,15310.14580917897,34256.223704,2.2374851376962193,805.7971478515265
11422182,15195.183189460222,34516.176827,2.2715209416455955,799.7464836558011
11422341,15344.204069491227,34181.956913,2.2276787220891925,807.5896878679596
11422680,15629.406923813867,33560.047364,2.147237417746541,822.6003644112589
